{'loss': 2.0056, 'learning_rate': 4.7500711035267356e-05, 'epoch': 5.0}
{'loss': 1.8971, 'learning_rate': 4.7000853242320816e-05, 'epoch': 6.0}
{'loss': 1.8255, 'learning_rate': 4.650099544937429e-05, 'epoch': 7.0}
{'loss': 1.7548, 'learning_rate': 4.600113765642776e-05, 'epoch': 8.0}
{'loss': 1.6962, 'learning_rate': 4.5501279863481236e-05, 'epoch': 9.0}
{'loss': 1.6503, 'learning_rate': 4.5001422070534696e-05, 'epoch': 10.0}
{'loss': 1.6041, 'learning_rate': 4.450156427758817e-05, 'epoch': 11.0}
{'loss': 1.5599, 'learning_rate': 4.400170648464164e-05, 'epoch': 12.0}
{'loss': 1.5271, 'learning_rate': 4.350184869169511e-05, 'epoch': 13.0}
{'loss': 1.4901, 'learning_rate': 4.3001990898748576e-05, 'epoch': 14.0}
{'loss': 1.461, 'learning_rate': 4.250213310580205e-05, 'epoch': 15.0}
{'loss': 1.43, 'learning_rate': 4.200227531285552e-05, 'epoch': 16.0}
{'loss': 1.4019, 'learning_rate': 4.150241751990899e-05, 'epoch': 17.0}
{'loss': 1.3806, 'learning_rate': 4.1002559726962456e-05, 'epoch': 17.99}
{'loss': 1.3531, 'learning_rate': 4.050270193401593e-05, 'epoch': 18.99}
{'loss': 1.3303, 'learning_rate': 4.00028441410694e-05, 'epoch': 19.99}
{'loss': 1.309, 'learning_rate': 3.950298634812287e-05, 'epoch': 20.99}
{'loss': 1.2859, 'learning_rate': 3.900312855517634e-05, 'epoch': 21.99}
{'loss': 1.2649, 'learning_rate': 3.850327076222981e-05, 'epoch': 22.99}
{'loss': 1.2509, 'learning_rate': 3.8003412969283284e-05, 'epoch': 23.99}
{'loss': 1.2317, 'learning_rate': 3.7503555176336743e-05, 'epoch': 24.99}
{'loss': 1.2135, 'learning_rate': 3.700369738339022e-05, 'epoch': 25.99}
{'loss': 1.1945, 'learning_rate': 3.650383959044369e-05, 'epoch': 26.99}
{'loss': 1.1821, 'learning_rate': 3.600398179749716e-05, 'epoch': 27.99}
{'loss': 1.1662, 'learning_rate': 3.5504124004550624e-05, 'epoch': 28.99}
{'loss': 1.1534, 'learning_rate': 3.50042662116041e-05, 'epoch': 29.99}
{'loss': 1.1381, 'learning_rate': 3.450440841865757e-05, 'epoch': 30.99}
{'loss': 1.1233, 'learning_rate': 3.400455062571104e-05, 'epoch': 31.99}
{'loss': 1.1073, 'learning_rate': 3.3504692832764504e-05, 'epoch': 32.99}
{'loss': 1.0963, 'learning_rate': 3.300483503981798e-05, 'epoch': 33.99}
{'loss': 1.0813, 'learning_rate': 3.250497724687145e-05, 'epoch': 34.99}
{'loss': 1.0663, 'learning_rate': 3.200511945392492e-05, 'epoch': 35.99}
{'loss': 1.0549, 'learning_rate': 3.1505261660978384e-05, 'epoch': 36.99}
{'loss': 1.0438, 'learning_rate': 3.100540386803186e-05, 'epoch': 37.99}
{'loss': 1.0316, 'learning_rate': 3.0505546075085327e-05, 'epoch': 38.99}
{'loss': 1.0184, 'learning_rate': 3.0005688282138794e-05, 'epoch': 39.99}
{'loss': 1.0132, 'learning_rate': 2.9505830489192264e-05, 'epoch': 40.99}
{'loss': 0.9989, 'learning_rate': 2.9005972696245738e-05, 'epoch': 41.99}
{'loss': 0.9857, 'learning_rate': 2.85061149032992e-05, 'epoch': 42.99}
{'loss': 0.9783, 'learning_rate': 2.8006257110352674e-05, 'epoch': 43.99}
{'loss': 0.967, 'learning_rate': 2.7506399317406144e-05, 'epoch': 44.99}
{'loss': 0.9574, 'learning_rate': 2.7006541524459618e-05, 'epoch': 45.99}
{'loss': 0.9465, 'learning_rate': 2.650668373151308e-05, 'epoch': 46.99}
{'loss': 0.9361, 'learning_rate': 2.6006825938566555e-05, 'epoch': 47.99}
{'loss': 0.9272, 'learning_rate': 2.5506968145620025e-05, 'epoch': 48.99}
{'loss': 0.9196, 'learning_rate': 2.5007110352673495e-05, 'epoch': 49.99}
{'loss': 0.9052, 'learning_rate': 2.4507252559726965e-05, 'epoch': 50.99}
{'loss': 0.8973, 'learning_rate': 2.4007394766780435e-05, 'epoch': 51.99}
{'loss': 0.8894, 'learning_rate': 2.3507536973833905e-05, 'epoch': 52.98}
{'loss': 0.8772, 'learning_rate': 2.3007679180887375e-05, 'epoch': 53.98}
{'loss': 0.8716, 'learning_rate': 2.250782138794084e-05, 'epoch': 54.98}
{'loss': 0.8664, 'learning_rate': 2.200796359499431e-05, 'epoch': 55.98}
{'loss': 0.8554, 'learning_rate': 2.150810580204778e-05, 'epoch': 56.98}
{'loss': 0.8484, 'learning_rate': 2.100824800910125e-05, 'epoch': 57.98}
{'loss': 0.8423, 'learning_rate': 2.050839021615472e-05, 'epoch': 58.98}
{'loss': 0.8357, 'learning_rate': 2.0008532423208192e-05, 'epoch': 59.98}
{'loss': 0.8247, 'learning_rate': 1.9508674630261662e-05, 'epoch': 60.98}
{'loss': 0.8161, 'learning_rate': 1.9008816837315132e-05, 'epoch': 61.98}
{'loss': 0.8066, 'learning_rate': 1.8508959044368602e-05, 'epoch': 62.98}
{'loss': 0.8008, 'learning_rate': 1.8009101251422072e-05, 'epoch': 63.98}
{'loss': 0.7918, 'learning_rate': 1.7509243458475542e-05, 'epoch': 64.98}
{'loss': 0.7885, 'learning_rate': 1.7009385665529012e-05, 'epoch': 65.98}
{'loss': 0.7813, 'learning_rate': 1.6509527872582482e-05, 'epoch': 66.98}
{'loss': 0.7745, 'learning_rate': 1.600967007963595e-05, 'epoch': 67.98}
{'loss': 0.7677, 'learning_rate': 1.5509812286689422e-05, 'epoch': 68.98}
{'loss': 0.763, 'learning_rate': 1.5009954493742889e-05, 'epoch': 69.98}
{'loss': 0.7539, 'learning_rate': 1.451009670079636e-05, 'epoch': 70.98}
{'loss': 0.7447, 'learning_rate': 1.4010238907849829e-05, 'epoch': 71.98}
{'loss': 0.7435, 'learning_rate': 1.35103811149033e-05, 'epoch': 72.98}
{'loss': 0.7336, 'learning_rate': 1.3010523321956769e-05, 'epoch': 73.98}
{'loss': 0.7307, 'learning_rate': 1.251066552901024e-05, 'epoch': 74.98}
{'loss': 0.724, 'learning_rate': 1.2010807736063709e-05, 'epoch': 75.98}
{'loss': 0.7198, 'learning_rate': 1.151094994311718e-05, 'epoch': 76.98}
{'loss': 0.714, 'learning_rate': 1.101109215017065e-05, 'epoch': 77.98}
{'loss': 0.7054, 'learning_rate': 1.051123435722412e-05, 'epoch': 78.98}
{'loss': 0.7049, 'learning_rate': 1.001137656427759e-05, 'epoch': 79.98}
